																																																																																																																																																																																																																																																																																																							
	0.08	41.60	5.8	0.036	0.00		a_th	2	9.8	1.20		a_th	2	4.00		th1	2	30.73	8.12			0.08	41.39	5.8	0.040	0.00		a_th	2	10.1	1.45		th1	2	4.46		th1	2	25.71	7.00			0.08	42.3	5.7	0.038	0.00		a_th	2	9.4	1.45		th1	2	4.50		th1	2	32.84	7.60			0.08	41.6	5.8	0.007	NA		th1	2	12.7	2.60		th1	2	4.80		th1	2	27.30	10.02				0.08	41.5	4.84	0.025	0.00		th1	2	12.5	2.3		th1	2	3.93		th1	2	31.57	4.91			0.08	41.5	4.8	0.046	0.00		th1	2	12.5	2.3		th1	2	3.99		th1	2	32.24	5.07			0.08	41.5	4.80	0.040	0.08		th1	2	12.6	2.2		th1	2	3.89		th1	2	37.35	5.23				0.08	36.5	5.8	0.040	0.00		a_th	2	16.0	0.9		th1	2	4.80		th1	2	31.78	2.76			0.08	37.3	5.8	0.057	0.00		a_th	2	15.8	0.9		th1	2	4.30		th1	2	31.76	2.67			0.08	36.7	5.8	0.029	0.03	0.00		a_th	2	22.6	1.6		th1	2	2.99		th1	2	29.03	6.96			0.08	37.4	5.8	0.038	0.00		a_th	2	22.3	1.7		th1	2	4.10		th1	2	27.77	7.60				0.08	36.8	4.8	0.035	0.00		th1	2	17.0	1.0		th1	2	3.25		th1	2	36.26	2.67			0.08	37.0	4.83	0.038	0.00		th1	2	16.5	1.1		th1	2	3.55		th1	36.15	2.05			0.08	36.4	4.8	0.038	0.00		th1	2	18.8	1.0		th1	2	3.11		th1	35.99	2.82	
	0.17	41.57	5.8	0.037	0.00		a_th	3	9.8	1.28		a_th	3	4.11		th2	1	21.98	12.88			0.17	41.40	5.8	0.041	0.00		a_th	3	10.1	1.55		th1	3	4.50		th2	1	19.18	15.23			0.17	42.3	5.8	0.039	0.00		a_th	3	9.4	1.55		th1	3	4.48		th2	1	21.48	14.64			0.17	41.6	5.8	0.030	NA		th1	3	12.7	2.65		th1	3	4.86		th2	1	22.80	15.03				0.17	41.5	4.84	0.038	0.00		th1	3	12.5	2.3		th1	3	3.95		th2	1	25.87	11.74			0.17	41.5	4.8	0.047	0.00		th1	3	12.5	2.4		th1	3	3.96		th2	1	28.81	12.96			0.17	41.6	4.79	0.041	0.08		th1	3	12.6	2.2		th1	3	3.91		th2	1	29.27	12.19				0.17	36.5	5.8	0.041	0.00		a_th	3	16.0	0.9		th1	3	4.85		th2	1	32.19	4.73			0.17	37.3	5.8	0.058	0.00		a_th	3	15.8	0.9		th1	3	4.35		th2	1	32.41	4.72			0.17	36.6	5.8	0.029	0.07	0.00		a_th	3	22.6	1.6		th1	3	3.15		th2	1	19.03	12.33			0.17	37.4	5.8	0.038	0.00		a_th	3	22.3	1.6		th1	3	4.18		th2	1	17.69	14.11				0.17	36.7	4.8	0.037	0.00		th1	3	17.0	1.2		th1	3	3.28		th2	1	26.84	7.96			0.17	37.0	4.83	0.039	0.00		th1	3	16.5	1.3		th1	3	3.50		th2	27.05	8.22			0.17	36.4	4.8	0.039	0.00		th1	3	18.8	1.2		th1	3	3.00		th2	30.99	7.17	
	0.25	41.54	5.8	0.038	0.00		th1	1	12.8	3.45		th1	1	4.78		th2	2	21.68	12.58			0.25	41.43	5.8	0.042	0.00		th1	1	12.7	3.03		th1	1	5.27		th2	2	18.82	14.87			0.25	42.4	5.8	0.040	0.00		th1	1	12.7	3.03		th1	1	5.72		th2	2	21.24	14.40			0.25	41.6	5.8	0.031	NA		a_th	1	15.0	4.20		a_th	1	5.98		th2	2	22.48	14.71				0.25	41.5	4.84	0.039	0.00		a_th	1	14.3	3.5		th2	1	5.69		th2	2	25.65	11.52			0.25	41.5	4.8	0.048	0.00		a_th	1	14.6	3.5		th2	1	5.28		th2	2	28.59	12.74			0.25	41.6	4.79	0.042	0.08		a_th	1	14.0	3.6		th2	1	5.58		th2	2	29.11	12.03				0.25	36.5	5.8	0.042	0.00		th1	1	17.0	1.0		th1	1	5.96		th2	2	31.99	4.53			0.25	37.3	5.8	0.059	0.00		th1	1	17.0	1.0		th1	1	4.94		th2	2	32.09	4.40			0.25	36.5	5.8	0.029	0.10	0.00		a_th	1	24.6	1.9		th1	1	4.24		th2	2	18.85	12.15			0.25	37.4	5.8	0.039	0.00		a_th	1	24.3	1.9		th1	1	3.97		th2	2	17.47	13.89				0.25	36.7	4.8	0.037	0.00		a_th	1	20.8	2.0		th2	1	4.83		th2	2	26.58	7.70			0.25	37.0	4.83	0.039	0.00		a_th	1	21.0	1.8		th2	1	4.68		th2	26.85	8.02			0.25	36.4	4.8	0.040	0.00		a_th	1	21.5	1.6		th2	1	4.49		th2	30.83	7.01	
	0.33	41.53	5.8	0.038	0.00		th1	2	12.8	3.40		th1	2	4.76		th3	1	10.98	20.88			0.33	41.48	5.8	0.043	0.00		th1	2	12.7	3.10		th1	2	5.20		th3	1	13.18	23.23			0.33	42.4	5.8	0.040	0.00		th1	2	12.7	3.10		th1	2	5.70		th3	1	13.48	22.64			0.33	41.6	5.8	0.031	NA		a_th	2	15.0	4.22		a_th	2	5.99		th3	1	22.64	25.03				0.33	41.5	4.84	0.039	0.00		a_th	2	14.3	3.4		th2	2	5.66		th3	1	17.64	21.87			0.33	41.5	4.8	0.048	0.00		a_th	2	14.6	3.5		th2	2	5.24		th3	1	16.35	20.03			0.33	41.6	4.80	0.043	0.08		a_th	2	14.0	3.6		th2	2	5.55		th3	1	16.50	18.69				0.33	36.5	5.8	0.042	0.00		th1	2	17.0	1.0		th1	2	5.97		th3	1	24.32	12.28			0.33	37.3	5.8	0.060	0.00		th1	2	17.0	1.1		th1	2	4.96		th3	1	20.40	12.11			0.33	36.5	5.8	0.030	0.13	0.00		a_th	2	24.6	1.9		th1	2	4.21		th3	1	14.18	16.90			0.33	37.4	5.8	0.039	0.00		a_th	2	24.3	1.9		th1	2	4.00		th3	1	12.04	17.24				0.33	36.7	4.8	0.037	0.00		a_th	2	20.8	1.9		th2	2	4.80		th3	1	19.48	16.86			0.33	37.0	4.83	0.040	0.00		a_th	2	21.0	1.8		th2	2	4.66		th3	14.39	11.79			0.33	36.4	4.8	0.040	0.00		a_th	2	21.5	1.6		th2	2	4.47		th3	20.64	13.59	
	0.42	41.52	5.8	0.038	0.00		th1	3	12.8	3.48		th1	3	4.81		th3	2	10.68	20.58			0.42	41.46	5.8	0.044	0.00		th1	3	12.7	3.00		th1	3	5.29		th3	2	12.82	22.87			0.42	42.4	5.8	0.040	0.00		th1	3	12.7	3.00		th1	3	5.76		th3	2	13.24	22.40			0.42	41.6	5.8	0.031	NA		a_th	3	15.0	4.20		a_th	3	5.96		th3	2	22.32	24.71				0.42	41.5	4.84	0.040	0.00		a_th	3	14.3	3.5		th2	3	5.70		th3	2	17.42	21.65			0.42	41.5	4.8	0.049	0.00		a_th	3	14.6	3.6		th2	3	5.29		th3	2	16.13	19.81			0.42	41.6	4.80	0.044	0.08		a_th	3	14.0	3.6		th2	3	5.60		th3	2	16.34	18.53				0.42	36.4	5.8	0.043	0.00		th1	3	17.0	1.1		th1	3	5.94		th3	2	24.12	12.08			0.42	37.4	5.8	0.061	0.00		th1	3	17.0	1.0		th1	3	4.94		th3	2	20.08	11.79			0.42	36.5	5.8	0.030	0.17	0.00		a_th	3	24.6	1.8		th1	3	4.26		th3	2	14.00	16.72			0.42	37.4	5.8	0.040	0.00		a_th	3	24.3	2.0		th1	3	3.95		th3	2	11.82	17.02				0.42	36.6	4.8	0.037	0.00		a_th	3	20.8	2.2		th2	3	4.83		th3	2	19.22	16.60			0.42	37.0	4.83	0.041	0.00		a_th	3	21.0	1.8		th2	3	4.69		th3	14.19	11.59			0.42	36.4	4.8	0.040	0.00		a_th	3	21.5	1.6		th2	3	4.50		th3	20.48	13.43	
	0.50	41.52	5.8	0.038	0.00		a_th	1	15.2	5.64		th2	1	6.90								0.50	41.48	5.8	0.044	0.00		a_th	1	14.8	4.64		th2	1	6.88								0.50	42.4	5.8	0.040	0.00		a_th	1	14.5	4.64		th2	1	6.97								0.50	41.6	5.8	0.031	NA		th2	1	17.2	5.90		th3	1	7.45									0.50	41.5	4.84	0.041	0.00		th2	1	16.5	4.5		th3	1	6.73								0.50	41.5	4.8	0.049	0.00		th2	1	16.5	4.6		th3	1	6.54								0.50	41.6	4.79	0.044	0.08		th2	1	16.4	4.6		th3	1	6.78									0.50	36.4	5.8	0.044	0.00		a_th	1	20.0	1.6		th2	1	5.88								0.50	37.4	5.8	0.062	0.00		a_th	1	20.0	1.5		th1	1	4.39								0.50	36.5	5.8	0.030	0.20	0.00		th1	1	26.1	2.3		th1	1	3.05								0.50	37.4	5.8	0.040	0.00		th1	1	26.0	2.5		th1	1	4.13									0.50	36.6	4.8	0.038	0.00		th2	1	23.8	3.5		th3	1	6.41								0.50	37.0	4.82	0.042	0.00		th2	1	23.9	3.3		th3	1	5.71							0.50	36.4	4.8	0.041	0.00		th2	1	26.7	3.5		th3	1	6.11					
	0.58	41.51	5.8	0.039	0.00		a_th	2	15.2	5.60		th2	2	6.80								0.58	41.46	5.8	0.044	0.00		a_th	2	14.8	4.62		th2	2	6.86								0.58	42.4	5.8	0.041	0.00		a_th	2	14.5	4.62		th2	2	6.99								0.58	41.7	5.8	0.033	NA		th2	2	17.2	5.92		th3	2	7.44									0.58	41.5	4.84	0.041	0.00		th2	2	16.5	4.7		th3	2	6.72								0.58	41.5	4.8	0.050	0.00		th2	2	16.5	4.4		th3	2	6.56								0.58	41.6	4.80	0.044	0.08		th2	2	16.4	4.5		th3	2	6.77									0.58	36.4	5.8	0.043	0.00		a_th	2	20.0	1.6		th2	2	5.87								0.58	37.4	5.8	0.062	0.00		a_th	2	20.0	1.5		th1	2	4.39								0.58	36.5	5.8	0.031	0.23	0.00		th1	2	26.1	2.0		th1	2	3.00								0.58	37.4	5.8	0.041	0.00		th1	2	26.0	2.5		th1	2	4.11									0.58	36.6	4.8	0.037	0.00		th2	2	23.8	3.4		th3	2	6.40								0.58	37.1	4.82	0.042	0.00		th2	2	23.9	3.3		th3	2	5.70							0.58	36.4	4.8	0.041	0.00		th2	2	26.7	3.4		th3	2	5.99					
	0.67	41.51	5.8	0.039	0.00		a_th	3	15.2	5.66		th2	3	6.99								0.67	41.47	5.8	0.045	0.00		a_th	3	14.8	4.65		th2	3	6.89								0.67	42.4	5.8	0.042	0.00		a_th	3	14.5	4.65		th2	3	6.95								0.67	41.7	5.8	0.035	NA		th2	3	17.2	5.90		th3	3	7.46									0.67	41.5	4.84	0.040	0.00		th2	3	16.5	4.8		th3	3	6.74								0.67	41.5	4.8	0.050	0.00		th2	3	16.5	4.6		th3	3	6.53								0.67	41.6	4.80	0.044	0.08		th2	3	16.4	4.6		th3	3	6.80									0.67	36.4	5.8	0.043	0.00		a_th	3	20.0	1.6		th2	3	5.90								0.67	37.4	5.8	0.062	0.00		a_th	3	20.0	1.5		th1	3	4.40								0.67	36.5	5.8	0.030	0.27	0.00		th1	3	26.1	2.3		th1	3	3.11								0.67	37.4	5.8	0.041	0.23		th1	3	26.0	2.6		th1	3	4.16									0.67	36.5	4.8	0.037	0.00		th2	3	23.8	3.6		th3	3	6.42								0.67	37.0	4.82	0.043	0.00		th2	3	23.9	3.4		th3	3	5.71							0.67	36.4	4.8	0.042	0.00		th2	3	26.7	3.6		th3	3	6.11					
	0.75	41.50	5.8	0.040	0.00		th2	1	16.3	6.00		th2	1	7.14								0.75	41.45	5.8	0.046	0.00		th2	1	17.0	6.42		th3	1	7.62								0.75	42.4	5.8	0.043	0.00		th2	1	17.2	6.42		th3	1	8.03								0.75	41.7	5.8	0.036	NA		a_th	1	19.2	6.30													0.75	41.5	4.84	0.040	0.00		th3	1	21.0	6.1												0.75	41.5	4.8	0.050	0.00		th3	1	21.1	6.0												0.75	41.6	4.79	0.044	0.08		th3	1	21.7	6.3													0.75	36.4	5.8	0.043	0.00		th1	1	23.5	2.4		th2	1	5.93								0.75	37.4	5.8	0.063	0.00		th1	1	23.5	2.3		th2	1	5.95								0.75	36.5	5.8	0.030	0.30	0.00		a_th	1	28.1	3.0		th2	1	5.25								0.75	37.4	5.8	0.041	0.48		a_th	1	27.8	3.2		th2	1	5.01									0.75	36.5	4.8	0.038	0.00		th3	1	31.8	5.7												0.75	37.0	4.82	0.043	0.00		th3	1	33.4	5.6											0.75	36.4	4.8	0.042	0.00		th3	1	33.0	5.2									
	0.83	41.51	5.8	0.041	0.00		th2	2	16.3	5.98		th2	2	7.10								0.83	41.47	5.8	0.047	0.00		th2	2	17.0	6.42		th3	2	7.60								0.83	42.4	5.8	0.043	0.00		th2	2	17.2	6.42		th3	2	8.00								0.83	41.7	5.8	0.038	NA		a_th	2	19.2	6.27													0.83	41.5	4.84	0.041	0.00		th3	2	21.0	6.2												0.83	41.5	4.8	0.051	0.00		th3	2	21.1	6.3												0.83	41.6	4.80	0.045	0.08		th3	2	21.7	6.3													0.83	36.4	5.8	0.043	0.00		th1	2	23.5	2.4		th2	2	5.94								0.83	37.4	5.8	0.062	0.00		th1	2	23.5	2.3		th2	2	5.96								0.83	36.5	5.8	0.031	0.33	0.00		a_th	2	28.1	3.0		th2	2	5.20								0.83	37.4	5.8	0.041	0.48		a_th	2	27.8	3.2		th2	2	5.09									0.83	36.5	4.8	0.037	0.00		th3	2	31.8	5.8												0.83	37.0	4.82	0.044	0.00		th3	2	33.4	5.4											0.83	36.4	4.8	0.043	0.00		th3	2	33.0	5.0									
	0.92	41.50	5.8	0.043	0.00		th2	3	16.3	6.01		th2	3	7.20								0.92	41.47	5.8	0.048	0.00		th2	3	17.0	6.40		th3	3	7.65								0.92	42.4	5.8	0.045	0.00		th2	3	17.2	6.40		th3	3	8.11								0.92	41.7	5.8	0.040	NA		a_th	3	19.2	6.33													0.92	41.5	4.84	0.041	0.00		th3	3	21.0	6.2												0.92	41.5	4.8	0.051	0.00		th3	3	21.1	6.4												0.92	41.6	4.80	0.045	0.08		th3	3	21.7	6.3													0.92	36.4	5.8	0.043	0.00		th1	3	23.5	2.4		th2	3	5.90								0.92	37.4	5.8	0.063	0.00		th1	3	23.5	2.3		th2	3	5.94								0.92	36.4	5.8	0.030	0.37	0.00		a_th	3	28.1	2.9		th2	3	5.27								0.92	37.4	5.8	0.041	0.48		a_th	3	27.8	3.3		th2	3	5.00									0.92	36.5	4.8	0.038	0.00		th3	3	31.8	5.7												0.92	37.0	4.82	0.044	0.00		th3	3	33.4	5.7											0.92	36.4	4.8	0.043	0.00		th3	3	33.0	5.3									
	1.00	41.51	5.8	0.045	0.00		th3	1	21.3	7.44		th3	1	7.95								1.00	41.45	5.7	0.049	0.08		th3	1	21.4	7.52												1.00	42.4	5.8	0.046	0.08		th3	1	20.4	7.52												1.00	41.7	5.8	0.043	NA		th3	1	20.0	6.47													1.00	41.4	4.83	0.042	0.00																	1.00	41.5	4.8	0.053	0.00																	1.00	41.6	4.80	0.046	0.08																		1.00	36.4	5.8	0.043	0.00		a_th	1	25.8	3.0		th3	1	6.38								1.00	37.4	5.8	0.062	0.00		a_th	1	25.8	3.0		th2	1	5.67								1.00	36.4	5.8	0.031	0.40	0.00		th2	1	30.8	4.2		th2	1	5.19								1.00	37.4	5.8	0.041	0.48		th2	1	30.8	4.2		th2	1	5.34									1.00	36.5	4.8	0.038	0.00																	1.00	37.0	4.82	0.044	0.00																1.00	36.4	4.8	0.043	0.00														
